Date,Price,Dividend,Earnings
1871.01,89.83599853,5.26066658,8.093333201
1871.02,88.35223357,5.104795717,7.853531873
1871.03,89.19034148,5.030257871,7.738858263
1871.04,95.17928789,5.220804821,8.032007417
1871.05,99.85821951,5.342209274,8.218783499
1871.06,100.5962927,5.426356036,8.348240055
1871.07,98.71793865,5.426356036,8.348240055
1871.08,101.5693435,5.513158518,8.481782335
1871.09,100.2243724,5.383953889,8.283005983
1871.1,93.58554047,5.301141726,8.155602655
1871.11,94.6049908,5.301141726,8.155602655
1871.12,94.46350758,5.18154261,7.971604015
1872.01,96.85498878,5.247308343,8.02142654
1872.02,97.25356898,5.315066977,8.071249065
1872.03,98.9545016,5.301134014,8.000785595
1872.04,99.49184773,5.249251348,7.874837369
1872.05,99.49184773,5.314554878,7.92285467
1872.06,99.25085723,5.417200784,8.029065448
1872.07,100.1325314,5.562263949,8.197123892
1872.08,98.22674467,5.587620575,8.185562056
1872.09,95.76837101,5.610672241,8.174169041
1872.1,98.30849613,5.801585899,8.406662144
1872.11,95.07425604,5.698693286,8.210958476
1872.12,98.81142768,5.84683004,8.380456391
1873.01,99.59100502,5.895553624,8.429179974
1873.02,98.20447438,5.815993143,8.29494104
1873.03,97.44172118,5.863665218,8.342613115
1873.04,96.10690308,5.911337293,8.39028519
1873.05,98.42163901,6.090447958,8.624074309
1873.06,99.99849234,6.325205841,8.935608252
1873.07,99.79769216,6.375405887,8.985808298
1873.08,99.79769216,6.425605934,9.036008344
1873.09,92.16728511,6.47580598,9.086208391
1873.1,86.09175715,6.677761593,9.34886623
1873.11,85.66600159,6.944459287,9.701038546
1873.12,91.52721611,6.833479936,9.52545688
1874.01,95.01277093,6.728372191,9.378943054
1874.02,97.86723186,6.728372191,9.378943054
1874.03,96.4400014,6.728372191,9.378943054
1874.04,95.2545688,6.833479936,9.52545688
1874.05,93.50028861,6.887298045,9.600476063
1874.06,95.33470643,7.053913256,9.832727569
1874.07,94.57187304,6.997470427,9.754049686
1874.08,95.54846138,7.053913256,9.832727569
1874.09,97.04474601,7.053913256,9.832727569
1874.1,98.41871664,7.169575385,9.993953567
1874.11,100.107785,7.228789726,10.07649477
1874.12,99.45062229,7.228789726,10.07649477
1875.01,99.45062229,7.174026167,9.894679755
1875.02,99.23156805,7.119262609,9.710674198
1875.03,100.5458935,7.06449905,9.528859184
1875.04,101.025835,6.952315525,9.270478232
1875.05,99.56325199,7.071886467,9.31707121
1875.06,99.22592149,7.136110792,9.28827119
1875.07,99.45246469,7.079474992,9.100240334
1875.08,99.05943744,6.963361815,8.834484523
1875.09,98.99937829,6.966203392,8.72191319
1875.1,97.41357589,6.909567592,8.533882334
1875.11,99.85299648,6.912020923,8.415528285
1875.12,100.7214634,6.914516936,8.297420324
1876.01,103.6977247,6.975183275,8.214440837
1876.02,105.0927613,6.975183275,8.060986805
1876.03,104.8602552,6.975183275,7.905207712
1876.04,101.800061,7.036870573,7.817963207
1876.05,101.6450856,7.295101838,7.944365901
1876.06,103.7722729,7.501610087,8.001717427
1876.07,102.5220045,7.501610087,7.834181468
1876.08,97.35248075,7.43148708,7.597456958
1876.09,90.56075392,7.36266292,7.36266292
1876.1,88.43262981,7.228825325,7.06738156
1876.11,85.96424745,7.163687288,6.846097151
1876.12,83.97332217,7.036870573,6.567745868
1877.01,81.82178375,6.70247175,6.492731403
1877.02,79.04346771,6.666630195,6.70449533
1877.03,78.52604681,6.750267431,7.059912726
1877.04,70.84248819,6.344499027,6.908347403
1877.05,69.57718415,6.015823201,6.822823874
1877.06,68.2646518,6.126314905,7.251556418
1877.07,70.59912726,5.841148845,7.225882604
1877.08,78.48754847,5.833812209,7.547671464
1877.09,84.19452823,5.651947497,7.665859823
1877.1,86.01354581,5.412876614,7.710035964
1877.11,86.40815751,5.279909502,7.906611468
1877.12,86.14310181,5.03605826,7.951670936
1878.01,88.80788258,5.169985041,8.219511102
1878.02,87.79966878,5.19895523,8.32992455
1878.03,91.35998755,5.287036316,8.529751924
1878.04,94.90763092,5.321097505,8.644289627
1878.05,98.36548669,5.471948331,8.958916482
1878.06,102.7089637,5.57218718,9.186578865
1878.07,103.6403904,5.48579308,9.1072504
1878.08,101.6050686,5.39832147,9.032543343
1878.09,103.6666207,5.374760874,9.056103939
1878.1,103.6403904,5.411338776,9.181704704
1878.11,104.5161595,5.445683471,9.313082574
1878.12,106.3308623,5.547697165,9.55436734
1879.01,109.0690244,5.535709983,9.621228467
1879.02,111.7449429,5.520983298,9.689581708
1879.03,111.201659,5.636248469,9.9776831
1879.04,116.1934351,5.754194782,10.27248592
1879.05,121.4329268,5.803507646,10.4543271
1879.06,123.4850195,5.92478629,10.75816458
1879.07,124.5149808,5.908297481,10.81184536
1879.08,125.439597,5.957610345,10.99368655
1879.09,125.6788643,5.80743567,10.795874
1879.1,131.9644265,5.546453565,10.3851492
1879.11,131.9926553,5.309156904,10.01859059
1879.12,127.8509503,5.1971931,9.874666891
1880.01,128.9935638,5.174888568,9.824715271
1880.02,131.2654661,5.301105362,10.05442984
1880.03,132.5284449,5.376153896,10.18968704
1880.04,134.6073013,5.71691241,10.82835182
1880.05,127.708918,6.024005564,11.40009586
1880.06,130.8891562,6.284865537,11.88659352
1880.07,136.9007667,6.421493048,12.13798814
1880.08,141.8193571,6.55812056,12.38665021
1880.09,140.101453,6.626420075,12.5090583
1880.1,144.1584449,6.761653138,12.75788714
1880.11,150.1985387,6.827206306,12.87263056
1880.12,154.7925276,6.891448145,12.9877292
1881.01,165.7270864,7.094939887,13.00649735
1881.02,163.5393656,7.156503843,12.76773297
1881.03,165.3947555,7.289031691,12.65640957
1881.04,163.2333664,7.348125821,12.42095697
1881.05,172.2862036,7.554087389,12.43641334
1881.06,174.4066492,7.686615238,12.32508995
1881.07,166.6449963,7.741775418,12.09291564
1881.08,159.5484592,7.720086735,11.75254537
1881.09,154.8226475,7.555345198,11.20915968
1881.1,150.9345899,7.608085017,11.00227262
1881.11,153.3363501,7.803061434,11.0035552
1881.12,148.8774578,7.926919552,10.89951438
1882.01,146.6480117,7.926919552,10.87969709
1882.02,142.0993944,7.853507115,10.75685053
1882.03,141.8539723,7.853507115,10.73721676
1882.04,140.5522954,7.78144196,10.61923658
1882.05,137.588642,7.710747014,10.50107359
1882.06,135.6324793,7.64126644,10.38734657
1882.07,144.5765065,7.710747014,10.46251985
1882.08,147.5719581,7.64126644,10.34675234
1882.09,153.1433887,7.853507115,10.61450571
1882.1,150.3637553,7.926919552,10.69390991
1882.11,145.281182,8.001717427,10.77231209
1882.12,147.4212158,8.077874837,10.85464431
1883.01,146.663915,8.098069524,10.79153592
1883.02,142.0304843,8.04422655,10.62728096
1883.03,145.1493135,8.140983234,10.66531912
1883.04,149.6036015,8.239666844,10.70417592
1883.05,148.4830015,8.342840398,10.74378737
1883.06,154.2624162,8.614310181,10.99981146
1883.07,154.9770899,8.811786369,11.15672768
1883.08,147.9449707,8.83612832,11.08911115
1883.09,151.1100279,8.949102014,11.1351422
1883.1,147.0112026,8.970962416,11.06682845
1883.11,150.7503747,9.089198415,11.11300839
1883.12,145.9181825,9.01741577,10.93020093
1884.01,141.5461021,8.970962416,10.72525967
1884.02,145.3716724,8.927241612,10.5203184
1884.03,144.8251624,8.880788258,10.31537713
1884.04,141.1772879,9.020280073,10.32324042
1884.05,132.5286738,9.168704164,10.3315364
1884.06,127.1135237,9.120252821,10.11778047
1884.07,128.4942976,9.170344151,10.01160726
1884.08,136.5612041,9.124247542,9.79552941
1884.09,133.693129,9.175018659,9.684741917
1884.1,130.7613057,9.226918257,9.571491968
1884.11,131.0216986,9.388382401,9.563077999
1884.12,132.2233425,9.444524461,9.444524461
1885.01,129.1767217,9.267820455,9.343985975
1885.02,131.6240972,8.984775329,9.135374983
1885.03,134.9939644,9.015007894,9.246161942
1885.04,133.1373287,8.734661816,9.039323896
1885.05,134.7109304,8.756210475,9.145999046
1885.06,137.3182657,8.781982106,9.260999312
1885.07,140.7322961,8.494424691,9.046625405
1885.08,148.6208778,8.308254165,8.939340695
1885.09,148.4953338,8.223128699,8.941654508
1885.1,157.1176435,8.037908713,8.836270722
1885.11,165.3446708,7.756053451,8.62379743
1885.12,160.266807,7.396929554,8.321545748
1886.01,164.0824978,7.519396003,8.677439785
1886.02,167.2379304,7.46890908,8.835211417
1886.03,165.7399532,7.50460289,9.10132691
1886.04,165.4985698,7.541175066,9.373942431
1886.05,166.3228044,7.676691986,9.773949659
1886.06,176.1450649,7.716831413,10.06543228
1886.07,176.5937345,7.564043075,10.10526999
1886.08,175.7225909,7.418307517,10.14413467
1886.09,180.3038131,7.362678391,10.30774975
1886.1,184.8850352,7.307049266,10.47136482
1886.11,189.4662573,7.254692442,10.6349799
1886.12,182.3070183,7.111266672,10.66690001
1887.01,176.0731418,7.020837644,10.49181356
1887.02,172.754295,7.016194291,10.44633372
1887.03,176.8080961,7.094152005,10.52429144
1887.04,180.8618973,7.172109719,10.60224915
1887.05,183.9802058,7.250067434,10.68020686
1887.06,180.8062908,7.415266725,10.88624264
1887.07,178.5137454,7.584439091,11.09723193
1887.08,171.9710794,7.573038358,11.04401427
1887.09,171.8075045,7.744111493,11.25690434
1887.1,164.0824978,7.73080999,11.2017859
1887.11,165.2703544,7.71781372,11.14795315
1887.12,160.5569158,7.616551985,10.96783486
1888.01,159.936832,7.478778794,10.59317963
1888.02,160.8615779,7.516013499,10.45904919
1888.03,154.7683363,7.464220945,10.20617966
1888.04,157.184753,7.498637335,10.06907035
1888.05,161.2165533,7.536951822,9.92557619
1888.06,158.0871757,7.573038358,9.781841212
1888.07,160.2810607,7.430929331,9.407936967
1888.08,163.7112001,7.381036394,9.145999046
1888.09,167.7650013,7.328025148,8.887179435
1888.1,164.889888,7.190431937,8.528043365
1888.11,159.6429296,7.05902038,8.17408359
1888.12,156.5963088,7.007227826,7.921214064
1889.01,165.3446708,7.232251632,8.308254165
1889.02,169.252746,7.290641872,8.516925919
1889.03,167.7612456,7.353696218,8.727463643
1889.04,167.4380062,7.327837066,8.834132643
1889.05,176.2624142,7.481212993,9.16763346
1889.06,179.2442971,7.454707367,9.276969168
1889.07,175.5997735,7.428201741,9.386304876
