id,date,shop,region,item,price,quote_date,year,month,quarter
48652,1,58,London,394,1.65,199601,1996,1,1
48653,1,50,London,394,1.45,199601,1996,1,1
48654,1,26,London,394,1.75,199601,1996,1,1
48655,1,23,London,394,1.73,199601,1996,1,1
48656,1,20,London,394,1.8,199601,1996,1,1
48657,1,17,London,394,1.79,199601,1996,1,1
48658,1,17,London,394,1.66,199601,1996,1,1
48659,1,39,London,394,1.5,199601,1996,1,1
48660,1,55,London,394,1.85,199601,1996,1,1
48661,1,55,London,394,1.7,199601,1996,1,1
48662,1,18,London,394,1.8,199601,1996,1,1
48663,1,51,London,394,1.4,199601,1996,1,1
48664,1,25,London,394,1.9,199601,1996,1,1
48665,1,34,London,394,1.46,199601,1996,1,1
48666,1,28,London,394,1.64,199601,1996,1,1
48667,1,82,London,394,1.9,199601,1996,1,1
48668,1,38,London,394,1.66,199601,1996,1,1
48669,1,45,London,394,1.55,199601,1996,1,1
48670,1,45,London,394,1.76,199601,1996,1,1
48671,1,42,London,394,1.76,199601,1996,1,1
48672,1,70,London,394,1.72,199601,1996,1,1
48673,1,15,London,394,1.45,199601,1996,1,1
48674,1,72,London,394,1.8,199601,1996,1,1
48675,1,33,London,394,1.76,199601,1996,1,1
48676,1,69,London,394,1.7,199601,1996,1,1
48677,1,56,London,394,1.6,199601,1996,1,1
48678,1,21,London,394,1.63,199601,1996,1,1
48679,1,64,London,394,1.8,199601,1996,1,1
48680,1,64,London,394,1.75,199601,1996,1,1
48681,1,63,London,394,2,199601,1996,1,1
48682,1,77,London,394,1.74,199601,1996,1,1
48683,1,77,London,394,1.8,199601,1996,1,1
48684,1,77,London,394,1.72,199601,1996,1,1
48685,1,90,London,394,1.75,199601,1996,1,1
48686,1,59,London,394,1.9,199601,1996,1,1
48687,1,67,London,394,1.63,199601,1996,1,1
48688,1,60,London,394,1.6799999,199601,1996,1,1
48689,1,73,London,394,1.67,199601,1996,1,1
48690,1,57,London,394,1.74,199601,1996,1,1
48691,1,57,London,394,1.77,199601,1996,1,1
48692,1,57,London,394,1.73,199601,1996,1,1
48693,1,53,London,394,1.55,199601,1996,1,1
48694,1,74,London,394,.99000001,199601,1996,1,1
48695,1,95,London,394,1.35,199601,1996,1,1
48696,1,95,London,394,1.63,199601,1996,1,1
48697,1,106,London,394,.99000001,199601,1996,1,1
48698,1,106,London,394,1.79,199601,1996,1,1
48699,1,92,London,394,1.55,199601,1996,1,1
