Date,Value,Measure
1871.01,89.83599853,Price
1871.02,88.35223357,Price
1871.03,89.19034148,Price
1871.04,95.17928789,Price
1871.05,99.85821951,Price
1871.06,100.5962927,Price
1871.07,98.71793865,Price
1871.08,101.5693435,Price
1871.09,100.2243724,Price
1871.1,93.58554047,Price
1871.11,94.6049908,Price
1871.12,94.46350758,Price
1872.01,96.85498878,Price
1872.02,97.25356898,Price
1872.03,98.9545016,Price
1872.04,99.49184773,Price
1872.05,99.49184773,Price
1872.06,99.25085723,Price
1872.07,100.1325314,Price
1872.08,98.22674467,Price
1872.09,95.76837101,Price
1872.1,98.30849613,Price
1872.11,95.07425604,Price
1872.12,98.81142768,Price
1873.01,99.59100502,Price
1873.02,98.20447438,Price
1873.03,97.44172118,Price
1873.04,96.10690308,Price
1873.05,98.42163901,Price
1873.06,99.99849234,Price
1873.07,99.79769216,Price
1873.08,99.79769216,Price
1873.09,92.16728511,Price
1873.1,86.09175715,Price
1873.11,85.66600159,Price
1873.12,91.52721611,Price
1874.01,95.01277093,Price
1874.02,97.86723186,Price
1874.03,96.4400014,Price
1874.04,95.2545688,Price
1874.05,93.50028861,Price
1874.06,95.33470643,Price
1874.07,94.57187304,Price
1874.08,95.54846138,Price
1874.09,97.04474601,Price
1874.1,98.41871664,Price
1874.11,100.107785,Price
1874.12,99.45062229,Price
1875.01,99.45062229,Price
1875.02,99.23156805,Price
1875.03,100.5458935,Price
1875.04,101.025835,Price
1875.05,99.56325199,Price
1875.06,99.22592149,Price
1875.07,99.45246469,Price
1875.08,99.05943744,Price
1875.09,98.99937829,Price
1875.1,97.41357589,Price
1875.11,99.85299648,Price
1875.12,100.7214634,Price
1876.01,103.6977247,Price
1876.02,105.0927613,Price
1876.03,104.8602552,Price
1876.04,101.800061,Price
1876.05,101.6450856,Price
1876.06,103.7722729,Price
1876.07,102.5220045,Price
1876.08,97.35248075,Price
1876.09,90.56075392,Price
1876.1,88.43262981,Price
1876.11,85.96424745,Price
1876.12,83.97332217,Price
1877.01,81.82178375,Price
1877.02,79.04346771,Price
1877.03,78.52604681,Price
1877.04,70.84248819,Price
1877.05,69.57718415,Price
1877.06,68.2646518,Price
1877.07,70.59912726,Price
1877.08,78.48754847,Price
1877.09,84.19452823,Price
1877.1,86.01354581,Price
1877.11,86.40815751,Price
1877.12,86.14310181,Price
1878.01,88.80788258,Price
1878.02,87.79966878,Price
1878.03,91.35998755,Price
1878.04,94.90763092,Price
1878.05,98.36548669,Price
1878.06,102.7089637,Price
1878.07,103.6403904,Price
1878.08,101.6050686,Price
1878.09,103.6666207,Price
1878.1,103.6403904,Price
1878.11,104.5161595,Price
1878.12,106.3308623,Price
1879.01,109.0690244,Price
1879.02,111.7449429,Price
1879.03,111.201659,Price
1879.04,116.1934351,Price
1879.05,121.4329268,Price
1879.06,123.4850195,Price
1879.07,124.5149808,Price
1879.08,125.439597,Price
1879.09,125.6788643,Price
1879.1,131.9644265,Price
