Type,Location,Country,2012,2013,2014,2015,2016
Transport,Domestic,Estonia,24.04,24.83,23.08,26.04,22.36
Transport,Abroad,Estonia,131.93,152.42,144.96,218.21,206.89
Accomodation,Domestic,Finland,43.61,41.42,41.14,39.49,43.25
Accomodation,Abroad,Finland,230.01,224.32,221.71,221.44,222.09
Eating out,Domestic,Finland,37.69,37.49,35.71,37.18,37.3
Eating out,Abroad,Finland,171.95,167.86,165.43,173.82,174.33
Other,Domestic,Finland,54.82,55.58,55.08,56.67,55.03
Other,Abroad,Finland,168.35,162.06,165.46,156.5,145.9
Shopping,Domestic,Finland,4.77,5.29,10.44,1.82,6.35
Shopping,Abroad,Finland,13.16,34.75,15.71,24.32,11.63
Total,Domestic,Finland,199.56,194.23,189.69,190.02,188.7
Total,Abroad,Finland,901.01,872.87,869.84,864.99,852.32
Transport,Domestic,Finland,63.44,59.74,57.75,56.68,53.12
Transport,Abroad,Finland,330.7,318.63,317.24,313.23,310
Accomodation,Domestic,France,64.17,65.78,67.24,70.1,73.05
Accomodation,Abroad,France,274.8,283.5,288.85,288.74,318.66
Eating out,Domestic,France,46.08,45.98,47.49,47.85,50.08
Eating out,Abroad,France,161.38,163.38,161.73,162.04,174.65
Other,Domestic,France,79.17,80.86,83.31,85.43,86.02
Other,Abroad,France,170.24,176.17,176.4,169.4,178.76
Shopping,Domestic,France,10.87,11.26,11.46,12.98,12.97
Shopping,Abroad,France,87.51,82.46,81.49,84.21,87.19
Total,Domestic,France,255.31,258.47,264.66,269.17,273.85
Total,Abroad,France,966.78,991,985.56,974.64,1017.39
Transport,Domestic,France,65.9,65.86,66.63,65.79,64.7
Transport,Abroad,France,360.37,367.94,358.58,354.45,345.32
Accomodation,Domestic,Germany,105.79,113.29,111.05,108.78,110.84
Accomodation,Abroad,Germany,373.54,374.19,366.37,331.71,354.12
Eating out,Domestic,Germany,:,:,:,:,:
Eating out,Abroad,Germany,:,:,:,:,:
Other,Domestic,Germany,64.36,70.77,69.79,69.59,69.53
Other,Abroad,Germany,147.65,154.63,154.07,168.46,162.3
Shopping,Domestic,Germany,17.28,16.76,16.6,12.44,15.56
Shopping,Abroad,Germany,54.97,39.93,39.37,40,38.93
Total,Domestic,Germany,265.23,274.23,271.74,268.18,260.78
Total,Abroad,Germany,876.09,875.85,838.06,841.63,848.07
Transport,Domestic,Germany,95.07,90.17,90.89,89.82,80.41
Transport,Abroad,Germany,354.9,347.04,317.62,341.46,331.66
Accomodation,Domestic,Greece,39.1,43.46,42.95,43.48,46.39
Accomodation,Abroad,Greece,87.99,128.52,103.32,101.75,135.54
Eating out,Domestic,Greece,69.75,79.9,83.18,94.77,102.32
Eating out,Abroad,Greece,112.63,151.98,139.47,149.52,172.06
Other,Domestic,Greece,21.58,74.72,68.22,63.61,69.38
Other,Abroad,Greece,45.53,126.91,102.23,104.05,115.23
Shopping,Domestic,Greece,54.31,0.52,1.47,0.79,0.82
Shopping,Abroad,Greece,124.06,3.97,4.07,5,6.32
Total,Domestic,Greece,184.21,261.13,254.28,260.9,280.38
Total,Abroad,Greece,449.31,630.42,553.37,529.43,639.15
Transport,Domestic,Greece,53.78,63.05,59.93,59.03,62.29
Transport,Abroad,Greece,203.15,223.01,208.36,174.11,216.33
Accomodation,Domestic,Hungary,22.36,26.7,29.04,28.8,31.91
Accomodation,Abroad,Hungary,78.22,71.99,64.46,66.54,62.04
Eating out,Domestic,Hungary,6.11,6.95,7.01,7.29,7.48
Eating out,Abroad,Hungary,58.95,50.77,56.18,55.05,56.94
Other,Domestic,Hungary,15.86,17.31,17.33,18.35,18.22
Other,Abroad,Hungary,133.03,135.84,134.37,125.3,130.26
Shopping,Domestic,Hungary,0.21,0.16,0.64,0.19,0.18
Shopping,Abroad,Hungary,5.99,2.94,4.33,6.72,7.13
Total,Domestic,Hungary,57.47,64.81,67.03,67.33,70.74
Total,Abroad,Hungary,307.7,303.88,328.48,312.59,311.53
Transport,Domestic,Hungary,13.15,13.85,13.65,12.88,13.13
Transport,Abroad,Hungary,37.49,45.29,73.48,65.7,62.28
Accomodation,Domestic,Ireland,72.73,72.55,74.46,74.13,78.27
Accomodation,Abroad,Ireland,234.5,226.19,248.15,261.3,268.58
Eating out,Domestic,Ireland,:,:,:,:,:
Eating out,Abroad,Ireland,:,:,:,:,:
Other,Domestic,Ireland,89.16,90.42,95.26,91.55,92.52
Other,Abroad,Ireland,297.06,305.32,296.6,312.74,308.97
Shopping,Domestic,Ireland,5.67,7.39,5.49,4.37,6.26
Shopping,Abroad,Ireland,20.29,14.95,14.35,19.05,14.51
Total,Domestic,Ireland,198.7,199.23,205.39,197.92,202.03
Total,Abroad,Ireland,814.77,824.29,848.72,866.32,875.36
Transport,Domestic,Ireland,36.81,36.25,35.67,32.25,31.25
Transport,Abroad,Ireland,283.2,292.78,303.97,292.28,297.81
Accomodation,Domestic,Italy,120.5,120.87,92.12,121.65,116.27
Accomodation,Abroad,Italy,286.3,283.3,182.89,197.68,216.31
Eating out,Domestic,Italy,:,:,:,:,:
Eating out,Abroad,Italy,:,:,:,:,:
Other,Domestic,Italy,117.57,119.46,82.81,99.42,110.41
Other,Abroad,Italy,239.57,249.91,205.68,199.84,203.29
Shopping,Domestic,Italy,0.69,0.23,6.34,2.63,1.02
Shopping,Abroad,Italy,0.41,0,3.49,3.08,1.28
Total,Domestic,Italy,321.09,318.05,235.85,294.38,299.19
Total,Abroad,Italy,805.51,820.47,637.26,664.06,652.52
Transport,Domestic,Italy,83.03,77.71,60.92,73.32,72.5
Transport,Abroad,Italy,279.64,287.26,248.69,266.54,232.91
