Country,HALE,Country,Health expenditure
Ecuador,67.9,Ecuador,5.4
Egypt,61.1,Egypt,6.2
El Salvador,65.5,El Salvador,8.5
Equatorial Guinea,53.8,Equatorial Guinea,4.2
Eritrea,57.4,Eritrea,6.9
Estonia,68.2,Estonia,2.7
Eswatini,50.2,Eswatini,3.3
Ethiopia,57.5,Ethiopia,6.5
Fiji,61.3,Fiji,7
Finland,71.7,Finland,4
France,73.4,France,3.6
Gabon,58.7,Gabon,9.4
Gambia,54.4,Gambia,11.1
Georgia,64.9,Georgia,2.7
Germany,71.6,Germany,6.7
Ghana,56.4,Ghana,7.9
Greece,72,Greece,11.2
Grenada,64.7,Grenada,5.9
Guatemala,64.2,Guatemala,8.4
Guinea,52.2,Guinea,5
Guinea-Bissau,51.7,Guinea-Bissau,5.7
Guyana,58.3,Guyana,4.5
Haiti,55.3,Haiti,6.9
Honduras,66.8,Honduras,4.5
Hungary,66.8,Hungary,6.9
Iceland,73,Iceland,7.6
India,59.3,India,7.2
Indonesia,61.7,Indonesia,8.6
Iran (Islamic Republic of),65.4,Iran (Islamic Republic of),3.9
Iraq,59,Iraq,3.3
Ireland,72.1,Ireland,7.6
Israel,72.9,Israel,3.4
Italy,73.2,Italy,7.8
Jamaica,66.9,Jamaica,7.4
Japan,74.8,Japan,9
Jordan,66.4,Jordan,5.9
Kazakhstan,63.4,Kazakhstan,10.9
Kenya,58.9,Kenya,6.3
Kiribati,57.8,Kiribati,3.9
Kuwait,66.3,Kuwait,5.2
Kyrgyzstan,63.5,Kyrgyzstan,7.6
Lao People's Democratic Republic,57.9,Lao People's Democratic Republic,4
Latvia,66.2,Latvia,8.2
Lebanon,66.1,Lebanon,2.8
Lesotho,46.6,Lesotho,5.8
Liberia,54.5,Liberia,7.4
Libya,62.3,Libya,8.4
Lithuania,66.1,Lithuania,15.2
Luxembourg,72.6,Luxembourg,No data
Madagascar,58.3,Madagascar,6.5
Malawi,56.2,Malawi,6
Malaysia,66.6,Malaysia,5.2
Maldives,69.8,Maldives,9.3
Mali,50.7,Mali,4
Malta,72.2,Malta,11.5
Mauritania,56.4,Mauritania,5.8
Mauritius,65.8,Mauritius,9.6
Mexico,67.7,Mexico,22.1
Micronesia (Federated States of),61.1,Micronesia (Federated States of),4.6
Mongolia,61.9,Mongolia,5.5
Montenegro,68.1,Montenegro,5.9
Morocco,65.3,Morocco,13.1
Mozambique,52.2,Mozambique,2
Myanmar,58.4,Myanmar,3.9
Namibia,55.9,Namibia,6
Nepal,61.3,Nepal,5.5
Netherlands,72.1,Netherlands,5.4
New Zealand,72.8,New Zealand,4.9
Nicaragua,66.9,Nicaragua,8.9
Niger,52.5,Niger,4.8
Nigeria,48.9,Nigeria,6.1
Norway,73,Norway,10.7
Oman,65.6,Oman,9.3
Pakistan,57.7,Pakistan,7.8
Panama,69.4,Panama,7.2
